day,transformer,district,SAIFI
2023-03-01,5,Achimota,0.6666666666666666
2023-03-02,62,Achimota,0.0
2023-03-02,8,Achimota,0.0
2023-03-03,14,Achimota,0.3372365339578454
2023-03-03,408,Mampong,0.0
2023-03-03,norc225,Kaneshie,0.0
2023-03-03,norc392,Kaneshie,0.0
2023-03-03,norc835,Achimota,0.0
2023-03-05,216,Dansoman,0.0
2023-03-05,404,Mampong,0.0
2023-03-05,48,Achimota,0.0
2023-03-06,84,Achimota,0.0
2023-03-06,norc602,Achimota,0.0
2023-03-07,221,Dansoman,0.8985959438377534
2023-03-07,222,Dansoman,0.8579940417080436
2023-03-07,414,Mampong,1.0046511627906975
2023-03-07,436,Mampong,1.0
2023-03-08,227,Dansoman,0.0
2023-03-08,norc456,Kaneshie,0.0
2023-03-09,93,Achimota,0.0
2023-03-10,12,Achimota,0.0
2023-03-10,328,Kaneshie,0.0
2023-03-10,55,Achimota,0.0
2023-03-10,norc602,Achimota,0.0
2023-03-11,301,Kaneshie,0.0
2023-03-12,238,Dansoman,0.0
2023-03-12,317,Kaneshie,0.0
2023-03-12,413,Mampong,0.0
2023-03-12,67,Achimota,0.0
2023-03-12,7,Achimota,0.0
2023-03-12,76,Achimota,0.0
2023-03-12,norc322,Kaneshie,0.0
2023-03-13,222,Dansoman,0.0
2023-03-13,94,Achimota,0.0
2023-03-13,98,Achimota,0.0
2023-03-14,norc167,Dansoman,0.0
2023-03-15,317,Kaneshie,0.0
2023-03-15,410,Mampong,1.015873015873016
2023-03-15,64,Achimota,0.0
2023-03-16,308,Kaneshie,0.0
2023-03-17,215,Dansoman,0.6666666666666666
2023-03-17,32,Achimota,0.0
2023-03-18,228,Dansoman,0.0
2023-03-18,235,Dansoman,0.0
2023-03-18,320,Kaneshie,0.0
2023-03-18,443,Mampong,0.0
2023-03-18,456,Mampong,0.0
2023-03-18,72,Achimota,0.0
2023-03-19,201,Dansoman,0.0
2023-03-19,304,Kaneshie,0.0
2023-03-21,325,Kaneshie,0.0
2023-03-21,norc450,Kaneshie,0.0
2023-03-22,norc450,Kaneshie,0.0
2023-03-23,423,Mampong,0.0
2023-03-23,norc146,Dansoman,0.0
2023-03-23,norc835,Achimota,0.0
2023-03-24,204,Dansoman,0.0
2023-03-24,97,Achimota,0.0
2023-03-24,norc1104,Mampong,1.309090909090909
2023-03-24,norc519,Achimota,0.0
2023-03-25,235,Dansoman,0.0
2023-03-25,52,Achimota,0.0
2023-03-27,409,Mampong,0.0
2023-03-27,426,Mampong,0.0
2023-03-28,415,Mampong,1.0523751522533495
2023-03-29,214,Dansoman,0.0
2023-03-30,418,Mampong,0.0
2023-03-30,90,Achimota,1.0
2023-03-30,norc477,Kaneshie,0.5026178010471204
2023-03-31,438,Mampong,0.0
2023-03-31,norc833,Achimota,0.0
2023-04-01,4,Achimota,0.0
2023-04-01,424,Mampong,0.0
2023-04-02,64,Achimota,0.0
2023-04-02,norc438,Kaneshie,0.0
2023-04-03,207,Dansoman,0.0
2023-04-03,86,Achimota,0.0
2023-04-04,norc606,Achimota,0.0
2023-04-05,norc732,Achimota,0.0
2023-04-06,2,Achimota,2.0
2023-04-06,455,Mampong,1.0
2023-04-06,75,Achimota,1.0
2023-04-07,314,Kaneshie,0.8135593220338982
2023-04-07,82,Achimota,0.0
2023-04-08,456,Mampong,0.0
2023-04-09,437,Mampong,0.0
2023-04-09,87,Achimota,1.0
2023-04-10,59,Achimota,0.6480225187825277
2023-04-10,62,Achimota,0.0
2023-04-10,82,Achimota,0.42687325224059053
2023-04-12,303,Kaneshie,0.3344947735191638
2023-04-12,404,Mampong,1.0
2023-04-13,94,Achimota,0.3333333333333333
2023-04-14,328,Kaneshie,0.0
2023-04-15,232,Dansoman,0.0
2023-04-15,302,Kaneshie,0.0
2023-04-15,46,Achimota,1.0
2023-04-16,27,Achimota,0.0
2023-04-16,437,Mampong,0.0
2023-04-16,norc537,Achimota,0.0
2023-04-17,405,Mampong,0.5
2023-04-17,norc430,Kaneshie,0.0
2023-04-18,203,Dansoman,0.45425867507886436
2023-04-19,301,Kaneshie,0.0
2023-04-21,48,Achimota,0.3333333333333333
2023-04-21,norc537,Achimota,0.0
2023-04-22,norc532,Achimota,0.0
2023-04-23,308,Kaneshie,1.5
2023-04-23,74,Achimota,0.3333333333333333
2023-04-23,norc225,Kaneshie,1.0
2023-04-23,norc430,Kaneshie,0.0
2023-04-24,456,Mampong,0.0
2023-04-25,207,Dansoman,0.0
2023-04-26,418,Mampong,0.0
2023-04-27,231,Dansoman,0.0
2023-04-27,norc165,Dansoman,0.0
2023-04-27,norc532,Achimota,0.0
2023-04-28,norc112,Dansoman,0.0
2023-04-28,norc835,Achimota,0.0
2023-04-29,4,Achimota,0.0
2023-04-29,87,Achimota,2.0
